name,league,age,height,position,erfolge,caps,goalsCap,follower,club,contractYear,country,appearances,nilnil_games,goals_conceded,minuted,price
Steve Mandanda,4,36,1.85,0,8,34,0,634401.0,1,2.5397260273972604,1,4.0,1.0,5.0,360.0,2.0
Unai Simón,1,24,1.9,0,3,20,0,3800.0,1,3.5397260273972604,1,14.0,6.0,10.0,1.26,20.0
Matz Sels,4,29,1.88,0,2,1,0,28585.0,1,2.5397260273972604,1,17.0,4.0,22.0,1.53,6.5
Alessandro Berardi,2,30,1.85,0,1,0,0,5432.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.05
Niklas Lomb,3,28,1.86,0,0,0,0,147390.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.25
Kepa Arrizabalaga,0,27,1.86,0,4,11,0,1796073.0,0,3.5397260273972604,1,4.0,2.0,2.0,271.0,13.0
Filippo Neri,2,19,1.88,0,0,0,0,19581.0,1,2.5397260273972604,1,0.0,0.0,0.0,0.0,0.05
Marc-Aurèle Caillard,4,27,1.91,0,0,1,0,9993.0,1,0.536986301369863,1,1.0,0.0,1.0,2.0,0.9
Giorgi Mamardashvili,1,21,1.97,0,0,3,0,108913.0,1,0.536986301369863,1,26.0,5.0,35.0,2.34,3.0
Loris Karius,0,28,1.91,0,0,1,0,1657420.0,0,0.536986301369863,1,248.0,79.0,318.0,22.119,2.0
Juan Musso,2,27,1.91,0,1,2,0,266753.0,1,3.5397260273972604,2,20.0,5.0,27.0,1.8,20.0
Michele Cerofolini,2,22,1.88,0,0,2,0,7671.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.7
Fabian Bredlow,3,26,1.9,0,1,5,0,24320.0,1,2.5397260273972604,1,6.0,1.0,9.0,540.0,0.5
Gautier Larsonneur,4,24,1.81,0,0,2,0,21040.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,5.0
Tom Heaton,0,35,1.88,0,2,3,0,120560.0,0,1.536986301369863,0,1.0,0.0,2.0,90.0,1.0
Mathew Ryan,1,29,1.84,0,3,66,0,170659.0,1,1.536986301369863,3,4.0,2.0,4.0,360.0,6.0
Paul Bernardoni,4,24,1.9,0,1,3,0,21529.0,1,2.5397260273972604,1,12.0,4.0,15.0,1.08,10.0
Samir Handanovic,2,37,1.93,0,4,81,0,4.0,0,0.536986301369863,1,21.0,8.0,18.0,1.89,2.5
David Raya,0,26,1.83,0,0,0,0,24253.0,1,2.5397260273972604,1,9.0,3.0,9.0,810.0,18.0
Alexander Nübel,4,25,1.93,0,3,17,0,131133.0,1,1.536986301369863,1,25.0,6.0,26.0,2.28,6.0
Ivor Pandur,2,21,1.87,0,2,4,0,6372.0,1,3.5397260273972604,1,2.0,1.0,3.0,180.0,1.0
Adrian Semper,2,23,1.94,0,2,13,0,20489.0,1,3.5397260273972604,1,0.0,0.0,0.0,0.0,2.3
Anthony Mandréa,4,24,1.86,0,0,2,0,2319.0,1,0.536986301369863,1,2.0,0.0,7.0,180.0,0.4
Christian Früchtl,3,21,1.93,0,8,3,0,121420.0,0,1.536986301369863,1,2.0,0.0,4.0,180.0,0.6
Gianluigi Donnarumma,4,22,1.96,0,3,40,0,4187594.0,0,4.53972602739726,1,9.0,3.0,8.0,810.0,65.0
Jonas Kersken,3,21,1.9,0,0,0,0,71552.0,1,1.536986301369863,1,7.0,2.0,8.0,630.0,0.1
Caoimhin Kelleher,0,23,1.88,0,3,2,0,264717.0,0,4.53972602739726,1,2.0,2.0,0.0,180.0,2.5
Nils-Jonathan Körber,3,25,1.89,0,2,2,0,35867.0,1,0.536986301369863,1,5.0,1.0,12.0,450.0,0.35
Bruno Bertinato,2,23,1.94,0,0,2,0,2614.0,1,0.536986301369863,2,1.0,0.0,1.0,120.0,0.075
Alexander Schwolow,3,29,1.9,0,3,7,0,28745.0,1,3.5397260273972604,1,16.0,2.0,30.0,1.44,5.0
Aarón Escandell,1,26,1.85,0,0,0,0,7434.0,1,1.536986301369863,1,5.0,2.0,6.0,373.0,1.0
Jordan Pickford,0,27,1.85,0,0,42,0,1038432.0,1,2.5397260273972604,0,14.0,3.0,22.0,1.26,25.0
Marius Funk,3,25,1.87,0,1,0,0,2400.0,1,0.536986301369863,1,9.0,0.0,32.0,840.0,0.2
Manolo Reina,1,36,1.86,0,0,0,0,27762.0,1,0.536986301369863,1,15.0,5.0,20.0,1.35,0.2
Vicente Guaita,0,34,1.9,0,0,0,0,33664.0,1,1.536986301369863,1,15.0,4.0,21.0,1.35,2.0
Hugo Lloris,0,34,1.88,0,5,136,0,571395.0,0,0.536986301369863,1,15.0,6.0,19.0,1.35,9.0
Javi Díaz,1,24,1.85,0,1,0,0,5766.0,1,0.536986301369863,1,6.0,2.0,5.0,540.0,0.4
Teddy Bartouche,4,24,1.78,0,0,0,0,2529.0,1,0.536986301369863,1,3.0,0.0,3.0,270.0,0.15
Jasper Cillessen,1,32,1.87,0,9,61,0,1649907.0,1,1.536986301369863,1,10.0,3.0,15.0,900.0,5.0
Matthieu Dreyer,4,32,1.88,0,0,1,0,4458.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.6
Wayne Hennessey,0,34,1.97,0,0,98,0,148.0,1,1.536986301369863,1,1.0,1.0,0.0,90.0,1.0
Jack Butland,0,28,1.96,0,1,9,0,207843.0,1,1.536986301369863,0,1.0,0.0,1.0,90.0,2.0
Fraser Forster,0,33,2.01,0,8,6,0,70056.0,1,0.536986301369863,0,3.0,1.0,3.0,300.0,3.0
Luca Philipp,3,21,1.92,0,0,4,0,36571.0,1,1.536986301369863,1,16.0,3.0,25.0,1.44,0.1
David de Gea,0,31,1.89,0,7,45,0,12253717.0,0,1.536986301369863,1,20.0,4.0,31.0,1.8,18.0
Léo Jardim,4,26,1.88,0,3,2,0,17841.0,1,2.5397260273972604,2,3.0,1.0,7.0,270.0,3.0
Édgar Badía,1,29,1.8,0,1,0,0,26362.0,1,0.536986301369863,1,4.0,0.0,7.0,360.0,1.5
Marcus Bettinelli,0,29,1.93,0,1,0,0,73201.0,0,1.536986301369863,0,0.0,0.0,0.0,0.0,2.5
Francesco Rossi,2,30,1.93,0,0,0,0,200352.5,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.1
Ivan Provedel,2,27,1.92,0,1,0,0,18170.0,1,0.536986301369863,1,9.0,1.0,17.0,810.0,1.7
Martin Dubravka,0,32,1.91,0,4,29,0,55939.0,1,3.5397260273972604,1,3.0,1.0,3.0,270.0,5.0
Ouparine Djoco,4,23,1.88,0,0,0,0,17870.5,1,3.5397260273972604,1,4.0,0.0,6.0,360.0,0.25
Yehvann Diouf,4,22,1.9,0,0,6,0,3613.0,1,2.5397260273972604,1,2.0,0.0,5.0,180.0,0.5
Stefan Ortega,3,29,1.85,0,3,0,0,14842.0,1,0.536986301369863,1,16.0,3.0,26.0,1.47,6.0
David Soria,1,28,1.92,0,2,0,0,41001.0,1,1.536986301369863,1,16.0,4.0,19.0,1.44,9.0
Alexandre Letellier,4,30,1.93,0,3,0,0,112646.0,0,0.536986301369863,1,0.0,0.0,0.0,0.0,0.4
Angus Gunn,0,25,1.96,0,0,0,0,53628.0,1,3.5397260273972604,0,2.0,1.0,3.0,180.0,3.0
John Ruddy,0,35,1.92,0,0,1,0,11971.0,1,0.536986301369863,0,3.0,1.0,5.0,270.0,0.8
Luís Maximiano,1,22,1.9,0,4,2,0,89421.0,1,3.5397260273972604,1,12.0,3.0,17.0,1.067,6.0
Jan Oblak,1,28,1.88,0,9,40,0,1614648.0,0,1.536986301369863,1,20.0,6.0,23.0,1.8,70.0
Darren Randolph,0,34,1.87,0,0,50,0,99916.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,1.5
Boris Radunović,2,25,1.94,0,0,0,0,12792.0,1,3.5397260273972604,1,2.0,1.0,4.0,180.0,0.3
Mark Flekken,3,28,1.94,0,2,0,0,21655.0,1,0.536986301369863,1,15.0,6.0,13.0,1.35,4.0
Kiko Casilla,1,35,1.9,0,10,1,0,1833657.0,1,0.536986301369863,1,13.0,4.0,15.0,1.17,0.8
Marcin Bulka,4,22,1.99,0,6,1,0,198401.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.8
Alexandre Oukidja,4,33,1.84,0,1,6,0,582068.0,1,1.536986301369863,3,17.0,2.0,36.0,1.528,2.5
Sébastien Renot,4,32,1.85,0,0,0,0,10140.0,1,-0.46301369863013697,1,0.0,0.0,0.0,0.0,0.25
Jason Steele,0,31,1.88,0,0,7,0,65861.5,1,1.536986301369863,0,4.0,2.0,4.0,360.0,0.8
Jens Grahl,3,33,1.92,0,1,0,0,18423.0,1,2.5397260273972604,1,199.0,67.0,212.0,17.799,0.2
Arne Schulz,3,18,1.9,0,0,0,0,13629.0,1,0.536986301369863,1,9.0,4.0,16.0,810.0,0.1
Keylor Navas,4,34,1.85,0,8,100,0,13494870.0,0,2.5397260273972604,2,14.0,4.0,15.0,1.235,12.0
Jan Olschowsky,3,20,1.83,0,0,1,0,10110.0,1,1.536986301369863,1,9.0,3.0,12.0,810.0,0.3
Andy Lonergan,0,38,1.93,0,3,0,0,54402.0,1,0.536986301369863,0,0.0,0.0,0.0,0.0,0.25
Marvin Schwäbe,3,26,1.9,0,3,4,0,16869.0,1,2.5397260273972604,1,4.0,1.0,3.0,390.0,1.0
Stole Dimitrievski,1,27,1.88,0,0,52,0,34473.0,1,2.5397260273972604,1,16.0,5.0,16.0,1.421,1.5
Emiliano Martínez,0,29,1.95,0,6,14,0,144826.0,1,2.5397260273972604,2,14.0,4.0,21.0,1.26,35.0
Alphonse Areola,0,28,1.95,0,8,3,0,1417447.0,1,0.536986301369863,1,6.0,5.0,2.0,540.0,14.0
Noah Atubolu,3,19,1.9,0,2,0,0,21366.5,1,0.536986301369863,1,16.0,8.0,24.0,1.44,0.5
Salvatore Sirigu,2,34,1.92,0,14,28,0,25483.0,1,0.536986301369863,1,16.0,2.0,31.0,1.44,2.5
Álvaro Fernández,0,23,1.86,0,0,1,0,54478.0,1,0.536986301369863,1,9.0,2.0,14.0,810.0,4.0
Emil Audero,2,24,1.92,0,2,10,0,35792.0,1,4.53972602739726,1,17.0,3.0,34.0,1.53,14.0
Thomas Callens,4,23,1.82,0,0,0,0,8726.0,1,1.536986301369863,1,10.0,7.0,5.0,900.0,0.15
Boubacar Fall,4,20,1.98,0,0,0,0,14426.0,1,3.5397260273972604,3,0.0,0.0,0.0,0.0,0.3
Jessy Moulin,4,35,1.85,0,1,0,0,40185.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.3
David Ospina,2,33,1.83,0,6,121,0,4574236.0,1,0.536986301369863,2,15.0,8.0,13.0,1.35,5.0
Antonio Mirante,2,38,1.93,0,1,0,0,134300.0,0,0.536986301369863,1,0.0,0.0,0.0,0.0,0.6
Davy Rouyard,4,22,1.94,0,0,0,0,33871.0,1,3.5397260273972604,2,11.0,6.0,10.0,990.0,0.15
Marius Adamonis,2,24,1.91,0,0,0,0,7737.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.15
Florian Schock,3,20,1.99,0,1,0,0,24320.0,1,0.536986301369863,1,7.0,1.0,12.0,630.0,0.2
Cristian Rivero,1,23,1.88,0,0,0,0,9844.0,1,2.5397260273972604,1,0.0,0.0,0.0,0.0,0.3
Sébastien Cibois,4,23,1.92,0,5,0,0,59607.0,1,0.536986301369863,1,31.0,8.0,44.0,2.79,0.4
Kevin Trapp,3,31,1.89,0,15,5,0,1716578.0,1,2.5397260273972604,1,20.0,3.0,27.0,1.8,6.5
Benjamin Uphoff,3,28,1.91,0,1,0,0,4294.0,1,0.536986301369863,1,2.0,0.0,3.0,210.0,0.5
Ousmane Ba,4,19,1.85,0,0,0,0,13796.0,1,3.5397260273972604,3,8.0,3.0,9.0,720.0,0.3
Robert Sánchez,0,24,1.97,0,0,1,0,36359.0,1,3.5397260273972604,1,14.0,5.0,14.0,1.26,11.0
Koen Casteels,3,29,1.97,0,3,3,0,40782.0,1,2.5397260273972604,1,17.0,6.0,21.0,1.56,14.0
Will Norris,0,28,1.9,0,0,0,0,29742.0,1,1.536986301369863,0,0.0,0.0,0.0,0.0,0.4
Rubén Yáñez,1,28,1.88,0,4,1,0,561268.0,1,1.536986301369863,1,1.0,0.0,1.0,90.0,2.0
Karl Darlow,0,31,1.9,0,0,0,0,48494.0,1,3.5397260273972604,0,8.0,0.0,15.0,720.0,3.0
Paul Grave,3,20,1.93,0,1,0,0,12085.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.1
Gianluca Pegolo,2,40,1.83,0,0,3,0,71335.5,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.1
Malcolm Barcola,4,22,1.95,0,0,14,0,4143.0,1,0.536986301369863,3,6.0,1.0,9.0,514.0,0.25
Mark Gillespie,0,29,1.91,0,0,0,0,13046.0,1,1.536986301369863,0,1.0,0.0,2.0,90.0,0.4
Antonio Sivera,1,25,1.85,0,2,10,0,20979.0,1,0.536986301369863,1,4.0,2.0,3.0,276.0,0.9
Brandon Austin,0,22,1.88,0,0,0,0,11103.0,0,0.536986301369863,0,5.0,1.0,8.0,450.0,0.25
Jokin Ezkieta,1,25,1.93,0,1,0,0,37752.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.3
Antonio Santurro,2,29,1.92,0,0,0,0,35653.0,1,0.536986301369863,1,168.0,49.0,191.0,14.949,0.05
Jonas Omlin,4,27,1.9,0,1,2,0,22543.0,1,2.5397260273972604,1,13.0,5.0,14.0,1.17,8.0
Mike Maignan,2,26,1.91,0,2,1,0,550505.0,0,4.53972602739726,1,12.0,5.0,13.0,1.08,25.0
Antonio Russo,2,21,1.88,0,0,0,0,15535.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.15
Frederik Rönnow,3,29,1.9,0,1,8,0,30437.0,1,2.5397260273972604,1,3.0,2.0,1.0,300.0,2.0
Wladimiro Falcone,2,26,1.95,0,0,5,0,8811.0,1,2.5397260273972604,1,0.0,0.0,0.0,0.0,2.2
Ionut Radu,2,24,1.88,0,4,0,0,173060.0,0,2.5397260273972604,1,0.0,0.0,0.0,0.0,5.0
Danijel Petkovic,4,28,1.96,0,0,23,0,12027.0,1,0.536986301369863,1,5.0,1.0,7.0,450.0,0.7
Marco Silvestri,2,30,1.91,0,0,0,0,49418.0,1,2.5397260273972604,1,17.0,3.0,28.0,1.53,6.0
Jaume Doménech,1,31,1.85,0,1,0,0,117144.0,1,1.536986301369863,1,1.0,1.0,0.0,90.0,2.5
Gregor Kobel,3,24,1.94,0,0,1,0,100801.0,0,4.53972602739726,1,21.0,4.0,35.0,1.845,18.0
Lasse Schulz,3,18,1.99,0,0,0,0,8814.0,1,2.5397260273972604,1,12.0,1.0,32.0,1.08,0.15
Gabriel Brazão,2,21,1.92,0,1,0,0,82582.0,0,2.5397260273972604,2,10.0,2.0,13.0,930.0,0.6
Axel Werner,1,25,1.91,0,2,0,0,143591.0,1,1.536986301369863,2,0.0,0.0,0.0,0.0,1.0
Julen Agirrezabala,5,20,1.87,0,0,4,0,5000.0,1,3.5397260273972604,1,13.0,3.0,14.0,1.17,5.0
Giacomo Satalino,2,22,1.88,0,0,1,0,71335.5,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.2
Luca Lezzerini,2,26,1.95,0,1,4,0,32908.0,1,2.5397260273972604,1,2.0,1.0,3.0,135.0,0.7
Stefanos Kapino,3,27,1.96,0,3,9,0,13629.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.7
Josep Martínez,3,23,1.91,0,0,1,0,13507.0,1,2.5397260273972604,1,3.0,2.0,3.0,270.0,2.5
Oier Olazábal,1,32,1.89,0,5,1,0,51867.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.3
Vid Belec,2,31,1.92,0,0,18,0,23090.0,1,1.536986301369863,1,17.0,2.0,33.0,1.53,0.8
Samir Ujkani,2,33,1.86,0,2,28,0,28457.0,1,0.536986301369863,2,0.0,0.0,0.0,0.0,0.2
Pavao Pervan,3,34,1.94,0,4,7,0,40782.0,1,0.536986301369863,3,3.0,0.0,8.0,270.0,0.6
Leon Schaffran,3,23,1.86,0,0,1,0,1543.0,1,2.5397260273972604,1,5.0,1.0,9.0,450.0,0.125
David Gil,1,27,1.86,0,0,0,0,22683.0,1,1.536986301369863,1,1.0,1.0,0.0,90.0,0.8
Michael McGovern,0,37,1.9,0,2,33,0,44949.5,1,1.536986301369863,3,360.0,107.0,456.0,32.353,0.25
Simon Ngapandouetnbu,4,18,1.86,0,0,0,0,40807.0,1,0.536986301369863,3,4.0,1.0,5.0,360.0,0.15
Neto,1,32,1.9,0,7,1,0,1190075.0,0,1.536986301369863,2,2.0,0.0,3.0,180.0,5.0
Willy Caballero,0,40,1.86,0,5,5,0,70056.0,1,0.0547945205479452,2,382.0,134.0,441.0,33.8,0.25
Luca Gemello,2,21,1.9,0,1,0,0,4313.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.275
Luca Zidane,1,23,1.83,0,6,1,0,1411092.0,1,0.536986301369863,1,2.0,1.0,1.0,136.0,1.0
Denis Franchi,4,19,1.89,0,1,0,0,36431.0,0,1.536986301369863,1,4.0,1.0,4.0,360.0,0.25
Péter Gulácsi,3,31,1.9,0,5,46,0,136389.5,1,3.5397260273972604,1,18.0,4.0,28.0,1.62,13.0
Teddy Boulhendi,4,20,1.85,0,0,3,0,16610.0,1,0.536986301369863,3,0.0,0.0,0.0,0.0,0.15
Marwin Hitz,3,34,1.94,0,3,2,0,133963.0,0,1.536986301369863,1,2.0,1.0,1.0,134.0,1.7
Scott Carson,0,36,1.88,0,6,4,0,85345.0,0,0.536986301369863,0,0.0,0.0,0.0,0.0,0.3
Sven Ulreich,3,33,1.92,0,15,0,0,287913.0,0,0.536986301369863,1,1.0,1.0,0.0,90.0,0.9
Guglielmo Vicario,2,25,1.94,0,2,0,0,11327.0,1,0.536986301369863,1,17.0,2.0,31.0,1.53,2.0
Lucas Margueron,4,20,1.94,0,0,0,0,17870.5,1,1.536986301369863,1,11.0,0.0,23.0,990.0,0.15
Arthur Desmas,4,27,1.96,0,0,0,0,17870.5,1,1.536986301369863,1,13.0,3.0,26.0,1.17,2.0
Ben Foster,0,38,1.93,0,6,8,0,346702.0,1,0.536986301369863,0,9.0,1.0,13.0,810.0,0.3
Daniele Padelli,2,36,1.91,0,1,0,0,142590.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,0.4
Alisson,0,29,1.91,0,5,51,0,7112501.0,0,5.53972602739726,2,19.0,10.0,17.0,1.71,60.0
Alessandro Plizzari,2,21,1.87,0,1,2,0,145598.0,0,1.536986301369863,1,0.0,0.0,0.0,0.0,1.5
Gaëtan Poussin,4,22,1.86,0,0,0,0,8074.0,1,1.536986301369863,1,0.0,0.0,0.0,0.0,1.0
Vito Mannone,4,33,1.88,0,0,8,0,24608.0,1,0.536986301369863,1,0.0,0.0,0.0,0.0,0.8
Rui Patrício,2,33,1.9,0,7,102,0,803531.0,1,2.5397260273972604,1,23.0,9.0,29.0,2.07,10.0
